z/b 	 c/b 
-0.000000000000 	 0.195031481117 
0.013925729443 	 0.196522405006 
0.034482758621 	 0.211664600745 
0.057692307692 	 0.216165327232 
0.074933687003 	 0.198292877123 
0.097148541114 	 0.182484165930 
0.114721485411 	 0.174892360785 
0.133289124668 	 0.168777243275 
0.154509283820 	 0.168529093579 
0.177055702918 	 0.172527848681 
0.193633952255 	 0.180246485893 
0.210212201592 	 0.191065623575 
0.224137931034 	 0.202087956111 
0.236074270557 	 0.207543382156 
0.251326259947 	 0.213086569403 
0.271883289125 	 0.194040983071 
0.291114058355 	 0.176566962195 
0.310344827586 	 0.161091921398 
0.332891246684 	 0.146483272010 
0.353448275862 	 0.139725070964 
0.375994694960 	 0.135782787021 
0.396551724138 	 0.132543133656 
0.416777188329 	 0.094731010123 
0.440318302387 	 0.056161239211 
0.462201591512 	 0.034552678790 
0.478116710875 	 0.024391809071 
0.490716180371 	 0.015402634708 
0.500000000000 	 0.003873880985 
